# omega0 omegab hubble scalar_amp ns w0 wa mnu Neff alphas 
3.146800e-01 5.101000e-02 6.538667e-01 2.425333e-09 1.070600e+00 -1.164633e+00 -2.811000e+00 4.108000e-01 2.545000e+00 -1.286667e-02 
3.478000e-01 4.563000e-02 6.510933e-01 1.625333e-09 9.910000e-01 -1.643667e-01 -1.131000e+00 1.800000e-02 4.228600e+00 4.940000e-02 
2.230000e-01 5.181000e-02 7.165867e-01 1.636000e-09 8.858000e-01 -5.673667e-01 -8.696667e-01 1.204000e-01 3.305533e+00 4.540000e-02 
2.892400e-01 4.077000e-02 6.421333e-01 2.489333e-09 9.050000e-01 1.956667e-02 -6.596667e-01 4.044000e-01 4.207133e+00 -4.393333e-02 
3.970000e-01 4.579000e-02 6.705067e-01 1.681333e-09 1.035800e+00 -1.102633e+00 -2.381667e+00 2.604000e-01 2.517400e+00 -1.580000e-02 
2.364400e-01 4.937000e-02 7.558400e-01 1.782667e-09 9.810000e-01 -1.119167e+00 -1.868333e+00 3.508000e-01 2.857800e+00 -4.633333e-02 
3.127600e-01 5.003000e-02 6.133333e-01 1.508000e-09 8.174000e-01 -9.823333e-02 -1.705000e+00 3.600000e-03 3.198200e+00 9.400000e-03 
3.516400e-01 4.075000e-02 6.555733e-01 2.644000e-09 1.043800e+00 -4.867667e-01 -3.516667e-01 5.300000e-01 3.934200e+00 2.433333e-02 
2.657200e-01 4.613000e-02 6.363733e-01 1.025333e-09 1.010600e+00 -1.241100e+00 -1.463333e-01 3.012000e-01 3.737933e+00 -8.733333e-03 
3.082000e-01 4.055000e-02 7.129600e-01 2.404000e-09 9.298000e-01 -3.379667e-01 -2.965000e+00 4.956000e-01 2.934467e+00 -3.980000e-02 
3.953200e-01 5.449000e-02 6.873600e-01 1.948000e-09 8.710000e-01 4.850000e-02 -1.499667e+00 1.028000e-01 3.235000e+00 2.246667e-02 
2.734000e-01 5.497000e-02 6.892800e-01 1.817333e-09 1.041800e+00 -1.133633e+00 -2.423667e+00 1.468000e-01 4.268467e+00 -7.400000e-03 
3.319600e-01 4.035000e-02 6.056533e-01 1.409333e-09 9.878000e-01 -3.069667e-01 -4.076667e-01 2.284000e-01 3.268733e+00 4.020000e-02 
3.514000e-01 4.821000e-02 7.496533e-01 2.452000e-09 8.306000e-01 3.033333e-03 -8.183333e-01 5.124000e-01 2.937533e+00 -3.033333e-02 
2.750800e-01 4.529000e-02 6.890667e-01 2.326667e-09 1.075400e+00 -4.103000e-01 -6.223333e-01 5.948000e-01 4.320600e+00 -2.860000e-02 
3.134800e-01 5.365000e-02 7.106133e-01 1.057333e-09 9.478000e-01 -1.499000e-01 -1.896333e+00 2.524000e-01 2.863933e+00 4.740000e-02 
3.408400e-01 4.183000e-02 6.282667e-01 2.532000e-09 8.054000e-01 -8.939000e-01 -1.485667e+00 8.200000e-02 3.136867e+00 -1.260000e-02 
2.388400e-01 4.091000e-02 6.764800e-01 1.270667e-09 8.190000e-01 -1.147667e-01 -9.630000e-01 2.676000e-01 3.495667e+00 2.566667e-02 
3.310000e-01 5.289000e-02 6.024533e-01 2.614667e-09 9.254000e-01 -5.839000e-01 -2.350000e-01 5.960000e-02 2.750467e+00 -2.073333e-02 
3.586000e-01 4.905000e-02 7.477333e-01 1.876000e-09 1.002600e+00 -1.272100e+00 -2.461000e+00 4.308000e-01 4.041533e+00 3.333333e-04 
2.270800e-01 4.103000e-02 7.084800e-01 1.484000e-09 1.089400e+00 -5.177667e-01 -1.588333e+00 2.828000e-01 2.649267e+00 6.333333e-03 
3.329200e-01 4.993000e-02 6.165333e-01 2.030667e-09 8.382000e-01 -1.222500e+00 -1.556667e-01 5.340000e-01 3.075533e+00 -2.406667e-02 
3.655600e-01 5.007000e-02 6.752000e-01 2.473333e-09 9.058000e-01 7.536667e-02 -2.549667e+00 1.564000e-01 4.194867e+00 4.180000e-02 
2.479600e-01 4.153000e-02 6.865067e-01 2.654667e-09 9.230000e-01 -5.136333e-01 -2.876333e+00 1.636000e-01 3.330067e+00 4.073333e-02 
3.283600e-01 5.287000e-02 7.436800e-01 1.166667e-09 1.009400e+00 -1.850333e-01 -8.276667e-01 5.460000e-01 4.093667e+00 5.400000e-03 
3.631600e-01 4.641000e-02 6.380800e-01 1.812000e-09 8.714000e-01 -1.224567e+00 -2.723333e-01 2.468000e-01 2.244467e+00 -3.753333e-02 
2.398000e-01 4.229000e-02 6.798933e-01 2.518667e-09 9.442000e-01 -2.594333e-01 -1.980333e+00 4.436000e-01 4.461667e+00 3.780000e-02 
2.940400e-01 5.005000e-02 7.594667e-01 2.014667e-09 8.218000e-01 -9.889667e-01 -1.807667e+00 2.324000e-01 2.327267e+00 -2.246667e-02 
3.734800e-01 4.771000e-02 6.054400e-01 1.073333e-09 1.026600e+00 -6.273000e-01 -5.850000e-01 8.120000e-02 3.219667e+00 -3.000000e-03 
2.350000e-01 5.045000e-02 6.312533e-01 2.985333e-09 8.510000e-01 -1.044333e-01 -1.593000e+00 2.596000e-01 3.701133e+00 3.260000e-02 
2.856400e-01 4.393000e-02 6.803200e-01 1.308000e-09 1.050600e+00 -5.446333e-01 -2.974333e+00 4.492000e-01 3.805400e+00 -4.006667e-02 
3.924400e-01 4.811000e-02 7.264000e-01 2.161333e-09 9.550000e-01 -9.703667e-01 1.476667e-01 3.000000e-02 2.796467e+00 1.533333e-03 
2.244400e-01 4.081000e-02 6.574933e-01 2.521333e-09 9.358000e-01 -5.715000e-01 -5.150000e-01 9.640000e-02 4.010867e+00 2.513333e-02 
3.362800e-01 4.501000e-02 7.112533e-01 1.260000e-09 1.022200e+00 6.710000e-02 -2.997667e+00 4.836000e-01 2.845533e+00 -1.100000e-02 
3.708400e-01 5.487000e-02 6.470400e-01 1.972000e-09 8.374000e-01 -1.098500e+00 -7.716667e-01 2.316000e-01 3.262600e+00 -3.700000e-02 
2.638000e-01 4.001000e-02 7.573333e-01 1.830667e-09 9.950000e-01 -3.855000e-01 -5.010000e-01 3.644000e-01 4.357400e+00 5.133333e-03 
3.269200e-01 4.735000e-02 6.600533e-01 2.894667e-09 8.162000e-01 -2.243000e-01 -2.372333e+00 1.588000e-01 2.676867e+00 3.153333e-02 
3.406000e-01 5.099000e-02 6.158933e-01 1.617333e-09 1.042200e+00 -1.276233e+00 -1.602333e+00 4.012000e-01 3.277933e+00 -4.713333e-02 
2.371600e-01 4.325000e-02 6.478933e-01 2.052000e-09 8.582000e-01 -2.821667e-01 -9.816667e-01 3.720000e-02 4.243933e+00 -3.540000e-02 
2.808400e-01 4.697000e-02 7.095467e-01 1.286667e-09 1.083800e+00 -1.148100e+00 -6.036667e-01 5.380000e-01 3.333133e+00 2.726667e-02 
3.998800e-01 5.039000e-02 6.583467e-01 2.721333e-09 9.006000e-01 -1.995000e-01 -2.451667e+00 3.532000e-01 2.354867e+00 3.133333e-03 
2.678800e-01 4.095000e-02 6.786133e-01 2.934667e-09 8.810000e-01 -7.657667e-01 -1.883333e-01 2.756000e-01 2.627800e+00 2.700000e-02 
3.240400e-01 5.431000e-02 7.334400e-01 1.452000e-09 9.526000e-01 -1.125367e+00 -1.322333e+00 6.680000e-02 3.139933e+00 -3.433333e-02 
3.562000e-01 4.773000e-02 6.336000e-01 2.038667e-09 1.028600e+00 -2.176667e-02 -2.783000e+00 5.868000e-01 3.931133e+00 1.133333e-03 
2.254000e-01 4.755000e-02 6.598400e-01 1.134667e-09 9.710000e-01 -5.343000e-01 -1.210333e+00 1.052000e-01 2.241400e+00 -1.006667e-02 
3.247600e-01 5.095000e-02 7.381333e-01 2.505333e-09 8.318000e-01 -1.168767e+00 -2.316333e+00 4.724000e-01 3.465000e+00 3.193333e-02 
3.862000e-01 4.445000e-02 6.417067e-01 2.284000e-09 1.055400e+00 -4.243333e-02 -3.563333e-01 3.668000e-01 4.388067e+00 -2.020000e-02 
2.318800e-01 5.135000e-02 7.236267e-01 2.244000e-09 9.990000e-01 -1.288633e+00 -1.943000e+00 4.516000e-01 2.839400e+00 1.433333e-02 
3.331600e-01 4.945000e-02 6.771200e-01 2.729333e-09 8.050000e-01 7.950000e-02 -4.496667e-01 1.124000e-01 3.986333e+00 2.406667e-02 
3.470800e-01 4.045000e-02 6.389333e-01 1.510667e-09 1.045800e+00 -4.888333e-01 -1.583667e+00 2.084000e-01 3.673533e+00 -4.966667e-02 
